ID;Active (0/1);Name;Parent category;Root category
11;1;Laptopy;Home;0
21;1;Akcesoria do laptopów;Home;0
31;1;Torby do laptopów;Home;0
41;1;Zasilacze do laptopów;Home;0
51;1;Laptopy/Notebooki/Ultrabooki;Home;0

